Name,Author,Created,Vendor,CVE,ExpectedLocations,VulnerableExecutablePath,VulnerableExecutableType,VulnerableExecutableAutoElevated,VulnerableExecutablePrivilegeEscalation,VulnerableExecutableCondition,VulnerableExecutableSHA256,VulnerableExecutableEnvironmentVariable,Resources,Acknowledgements,URL
"wsc.dll","Matt Green","2022-08-15","Avast","","%PROGRAMFILES%\AVAST Software\Avast","wsc_proxy.exe","Search Order","","","","85ca20eeec3400c68a62639a01928a5dab824d2eadf589e5cbfe5a2bc41d9654","","https://github.com/netero1010/Vulnerability-Disclosure/tree/main/CVE-2022-AVAST2, https://securelist.com/cycldek-bridging-the-air-gap/97157/","","https://hijacklibs.net/entries/3rd_party/avast/wsc.html"
"log.dll","Wietze Beukema","2022-06-13","BitDefender","","%PROGRAMFILES%\Bitdefender Antivirus Free","%PROGRAMFILES%\Bitdefender Antivirus Free\BDReinit.exe","Sideloading","","","","","","https://www.secureworks.com/research/shadowpad-malware-analysis","","https://hijacklibs.net/entries/3rd_party/bitdefender/log.html"
"ciscosparklauncher.dll","Sorina Ionescu","2022-10-10","Cisco","","%LOCALAPPDATA%\CiscoSparkLauncher","CiscoCollabHost.exe","Sideloading","","","","15bb2d1e81a75a92d0012dcbf47686fa2ab10f2174cda36d7c4b03bfb72313b7, 7b301cea1feff0add8de512a93ed7bc1b8330caf0c3a6f1585f9887b88db8efb","","https://news.sophos.com/en-us/2022/11/03/family-tree-dll-sideloading-cases-may-be-related/, https://www.joesandbox.com/analysis/279535/0/html","","https://hijacklibs.net/entries/3rd_party/cisco/ciscosparklauncher.html"
"vftrace.dll","Sorina Ionescu","2022-10-17","CyberArk","","%PROGRAMFILES%\CyberArk\Endpoint Privilege Manager\Agent\x32, %PROGRAMFILES%\CyberArk\Endpoint Privilege Manager\Agent\x64, %PROGRAMFILES%\CyberArk\Endpoint Privilege Manager\Agent","vf_host.exe","Sideloading","","","","df847abbfac55fb23715cde02ab52cbe59f14076f9e4bd15edbe28dcecb2a348","","https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/budworm-espionage-us-state?web_view=true, https://www.cisa.gov/uscert/ncas/analysis-reports/ar22-277b","Threat Hunting Team Symantec, CISA","https://hijacklibs.net/entries/3rd_party/cyberark/vftrace.html"
"qrt.dll","Wietze Beukema","2022-06-13","F-Secure","","%PROGRAMFILES%\F-Secure\Anti-Virus","qrtfix.exe","Sideloading","","","","","","https://www.welivesecurity.com/2022/04/27/lookback-ta410-umbrella-cyberespionage-ttps-activity/","","https://hijacklibs.net/entries/3rd_party/f-secure/qrt.html"
"chrome_frame_helper.dll","Wietze Beukema","2021-12-08","Google","","%LOCALAPPDATA%\Google\Chrome\Application, %PROGRAMFILES%\Google\Chrome\Application","chrome_frame_helper.exe","Sideloading","","","","f95d0ab23f95e169cd2c613a4b8dde731ca6031c5ae11ebf0bdc034db3cc30cd","","https://www.hexacorn.com/blog/2016/03/10/beyond-good-ol-run-key-part-36/","Adam (@hexacorn)","https://hijacklibs.net/entries/3rd_party/google/chrome_frame_helper.html"
"commfunc.dll","Wietze Beukema","2021-12-08","Lenovo","","%PROGRAMFILES%\Lenovo\Communications Utility","cammute.exe","Sideloading","","","","457b71d3effea8ec517277d17cf35a0b775103e549c0a779c81ba4eb125503ba","","https://blog.trendmicro.com/trendlabs-security-intelligence/new-wave-of-plugx-targets-legitimate-apps/","","https://hijacklibs.net/entries/3rd_party/lenovo/commfunc.html"
"ashldres.dll","Wietze Beukema","2021-12-08","McAfee","","%PROGRAMFILES%\McAfee.com\VSO","mcvsshld.exe","Sideloading","","","","4512d852cad65ab6bee423619ed32188e444ee5518f51adc5502961724af62e7","","https://www.sophos.com/en-us/medialibrary/PDFs/technical%20papers/sophos-rotten-tomato-campaign.pdf","","https://hijacklibs.net/entries/3rd_party/mcafee/ashldres.html"
"lockdown.dll","Wietze Beukema","2022-06-13","McAfee","","%PROGRAMFILES%\McAfee\VirusScan Enterprise","mfeann.exe","Sideloading","","","","07bbd8a80b5377723b13dbb40a01ca44cbc203369f5e5652a25b448e27ca108c","","https://twitter.com/thepacketrat/status/1520878930449817600, https://news.sophos.com/en-us/2021/10/04/atom-silo-ransomware-actors-use-confluence-exploit-dll-side-load-for-stealthy-attack/","Sean Gallagher (@thepacketrat)","https://hijacklibs.net/entries/3rd_party/mcafee/lockdown.html"
"vsodscpl.dll","Wietze Beukema","2022-06-13","McAfee","","%PROGRAMFILES%\McAfee\VirusScan Enterprise","scncfg32.exe","Sideloading","","","","8374046690b8bb2468cfa636ebbe731ea79103825d2450057338214d3112909f","","https://eiploader.wordpress.com/2011/03/28/digitally-signed-malware-without-stealing-certificates/","Sean Gallagher (@thepacketrat)","https://hijacklibs.net/entries/3rd_party/mcafee/vsodscpl.html"
"mozglue.dll","Wietze Beukema","2022-09-26","Mozilla","","%PROGRAMFILES%\SeaMonkey, %PROGRAMFILES%\Mozilla\Firefox, %PROGRAMFILES%\Mozilla Thunderbird","%PROGRAMFILES%\SeaMonkey\seamonkey.exe","Sideloading","","","","","","https://twitter.com/SBousseaden/status/1530595156055011330","Samir (@sbousseaden)","https://hijacklibs.net/entries/3rd_party/mozilla/mozglue.html"
"providers.dll","Wietze Beukema","2022-08-01","npm","CVE-2022-32223","","%PROGRAMFILES%\nodejs\node.exe","Phantom","","","Node.js versions earlier than 16.16.0 (LTS) and 14.20.0 on Windows","","","https://blog.aquasec.com/cve-2022-32223-dll-hijacking","","https://hijacklibs.net/entries/3rd_party/npm/providers.html"
"python39.dll","Wietze Beukema","2022-09-26","Python","","%PROGRAMFILES%\Python39, %LOCALAPPDATA%\Temp\%VERSION%, %PROGRAMFILES%\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\VC\SecurityIssueAnalysis\python, %USERPROFILE%\anaconda3","python39.exe","Sideloading","","","","","","https://twitter.com/SBousseaden/status/1530595156055011330","Samir (@sbousseaden)","https://hijacklibs.net/entries/3rd_party/python/python39.html"
"tosbtkbd.dll","Wietze Beukema","2022-06-14","Toshiba","","%PROGRAMFILES%\Toshiba\Bluetooth Toshiba Stack","%PROGRAMFILES%\Toshiba\Bluetooth Toshiba Stack\TosBtKbd.exe","Sideloading","","","","","","https://www.secureworks.com/research/shadowpad-malware-analysis, https://vms.drweb.com/virus/?i=21995048","","https://hijacklibs.net/entries/3rd_party/toshiba/tosbtkbd.html"
"tmtap.dll","Wietze Beukema","2022-05-26","Trend Micro","CVE-2019-14687","","%PROGRAMFILES%\trend micro\passwordmanager\pwmsvc.exe","Phantom","","true","Trend Micro Password Manager <=5.0.0.1058","","","https://medium.com/@infiniti_css/trend-micro-password-manager-dll-hijack-fa839acaad59","","https://hijacklibs.net/entries/3rd_party/trendmicro/tmtap.html"
"utiluniclient.dll","Wietze Beukema","2021-02-28","Trend Micro","CVE-2019-15628","","%PROGRAMFILES%\trend micro\amsp\coreserviceshell.exe","Phantom","","true","Trend Micro Maximum Security <=16.0.1221","","","https://safebreach.com/blog/2019/trend-micro-security-16-dll-search-order-hijacking-and-potential-abuses/","","https://hijacklibs.net/entries/3rd_party/trendmicro/utiluniclient.html"
"libvlc.dll","Wietze Beukema","2022-11-18","VLC","","%PROGRAMFILES%\VideoLAN\VLC","%PROGRAMFILES%\VideoLAN\VLC\vlc.exe","Sideloading","","","","6f924de3f160984740fbac66cf9546125330fc00f4f5d2dbf05601d9d930b7d9","","https://news.sophos.com/en-us/2022/11/03/family-tree-dll-sideloading-cases-may-be-related/, https://www.microsoft.com/en-us/security/blog/2018/11/08/attack-uses-malicious-inpage-document-and-outdated-vlc-media-player-to-give-attackers-backdoor-access-to-targets/","","https://hijacklibs.net/entries/3rd_party/vlc/libvlc.html"
"shfolder.dll","Wietze Beukema","2021-11-21","VMWare","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\VMNat.exe","Sideloading","","","","","","https://twitter.com/dissectmalware/status/978017957480628226","","https://hijacklibs.net/entries/3rd_party/vmware/shfolder.html"
